,GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,income
0,Id,Id2,Geography,Estimate; Total,Margin of Error; Total,Estimate; Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)
1,1500000US371190001001,371190001001,"Block Group 1, Census Tract 1, Mecklenburg County, North Carolina",1073,215,107319
2,1500000US371190001002,371190001002,"Block Group 2, Census Tract 1, Mecklenburg County, North Carolina",1945,290,89079
3,1500000US371190001003,371190001003,"Block Group 3, Census Tract 1, Mecklenburg County, North Carolina",901,218,145815
4,1500000US371190001004,371190001004,"Block Group 4, Census Tract 1, Mecklenburg County, North Carolina",173,110,45431
5,1500000US371190001005,371190001005,"Block Group 5, Census Tract 1, Mecklenburg County, North Carolina",569,246,71041
6,1500000US371190003001,371190003001,"Block Group 1, Census Tract 3, Mecklenburg County, North Carolina",782,110,71037
7,1500000US371190004001,371190004001,"Block Group 1, Census Tract 4, Mecklenburg County, North Carolina",1593,217,64955
8,1500000US371190004002,371190004002,"Block Group 2, Census Tract 4, Mecklenburg County, North Carolina",1227,197,57410
9,1500000US371190005001,371190005001,"Block Group 1, Census Tract 5, Mecklenburg County, North Carolina",1563,319,62079
10,1500000US371190005002,371190005002,"Block Group 2, Census Tract 5, Mecklenburg County, North Carolina",1105,331,48597
11,1500000US371190005003,371190005003,"Block Group 3, Census Tract 5, Mecklenburg County, North Carolina",2604,468,40397
12,1500000US371190006001,371190006001,"Block Group 1, Census Tract 6, Mecklenburg County, North Carolina",883,191,55016
13,1500000US371190006002,371190006002,"Block Group 2, Census Tract 6, Mecklenburg County, North Carolina",1989,261,36432
14,1500000US371190007001,371190007001,"Block Group 1, Census Tract 7, Mecklenburg County, North Carolina",942,145,32824
15,1500000US371190008001,371190008001,"Block Group 1, Census Tract 8, Mecklenburg County, North Carolina",2192,329,17175
16,1500000US371190008002,371190008002,"Block Group 2, Census Tract 8, Mecklenburg County, North Carolina",702,198,9928
17,1500000US371190009001,371190009001,"Block Group 1, Census Tract 9, Mecklenburg County, North Carolina",702,162,25201
18,1500000US371190009002,371190009002,"Block Group 2, Census Tract 9, Mecklenburg County, North Carolina",1157,281,24805
19,1500000US371190010001,371190010001,"Block Group 1, Census Tract 10, Mecklenburg County, North Carolina",1050,174,57376
20,1500000US371190010002,371190010002,"Block Group 2, Census Tract 10, Mecklenburg County, North Carolina",546,135,73847
21,1500000US371190010003,371190010003,"Block Group 3, Census Tract 10, Mecklenburg County, North Carolina",926,194,52648
22,1500000US371190011001,371190011001,"Block Group 1, Census Tract 11, Mecklenburg County, North Carolina",891,168,51675
23,1500000US371190011002,371190011002,"Block Group 2, Census Tract 11, Mecklenburg County, North Carolina",1685,264,56436
24,1500000US371190012001,371190012001,"Block Group 1, Census Tract 12, Mecklenburg County, North Carolina",1959,487,25146
25,1500000US371190012002,371190012002,"Block Group 2, Census Tract 12, Mecklenburg County, North Carolina",1288,418,28194
26,1500000US371190012003,371190012003,"Block Group 3, Census Tract 12, Mecklenburg County, North Carolina",1795,286,73651
27,1500000US371190013001,371190013001,"Block Group 1, Census Tract 13, Mecklenburg County, North Carolina",2169,328,28508
28,1500000US371190013002,371190013002,"Block Group 2, Census Tract 13, Mecklenburg County, North Carolina",901,164,27735
29,1500000US371190013003,371190013003,"Block Group 3, Census Tract 13, Mecklenburg County, North Carolina",664,176,34568
30,1500000US371190014001,371190014001,"Block Group 1, Census Tract 14, Mecklenburg County, North Carolina",1610,285,44510
31,1500000US371190014002,371190014002,"Block Group 2, Census Tract 14, Mecklenburg County, North Carolina",1334,201,54627
32,1500000US371190015041,371190015041,"Block Group 1, Census Tract 15.04, Mecklenburg County, North Carolina",4611,1044,12442
33,1500000US371190015042,371190015042,"Block Group 2, Census Tract 15.04, Mecklenburg County, North Carolina",1431,393,16729
34,1500000US371190015043,371190015043,"Block Group 3, Census Tract 15.04, Mecklenburg County, North Carolina",1657,634,11414
35,1500000US371190015051,371190015051,"Block Group 1, Census Tract 15.05, Mecklenburg County, North Carolina",3791,378,23045
36,1500000US371190015071,371190015071,"Block Group 1, Census Tract 15.07, Mecklenburg County, North Carolina",1771,513,10510
37,1500000US371190015072,371190015072,"Block Group 2, Census Tract 15.07, Mecklenburg County, North Carolina",1753,458,13941
38,1500000US371190015073,371190015073,"Block Group 3, Census Tract 15.07, Mecklenburg County, North Carolina",928,314,12097
39,1500000US371190015081,371190015081,"Block Group 1, Census Tract 15.08, Mecklenburg County, North Carolina",2470,567,23763
40,1500000US371190015082,371190015082,"Block Group 2, Census Tract 15.08, Mecklenburg County, North Carolina",3122,644,22161
41,1500000US371190015083,371190015083,"Block Group 3, Census Tract 15.08, Mecklenburg County, North Carolina",998,308,14926
42,1500000US371190015091,371190015091,"Block Group 1, Census Tract 15.09, Mecklenburg County, North Carolina",1545,441,16703
43,1500000US371190015092,371190015092,"Block Group 2, Census Tract 15.09, Mecklenburg County, North Carolina",1923,417,17281
44,1500000US371190015101,371190015101,"Block Group 1, Census Tract 15.10, Mecklenburg County, North Carolina",2264,403,21551
45,1500000US371190015102,371190015102,"Block Group 2, Census Tract 15.10, Mecklenburg County, North Carolina",762,252,22019
46,1500000US371190016031,371190016031,"Block Group 1, Census Tract 16.03, Mecklenburg County, North Carolina",2561,500,24620
47,1500000US371190016032,371190016032,"Block Group 2, Census Tract 16.03, Mecklenburg County, North Carolina",1951,415,22534
48,1500000US371190016051,371190016051,"Block Group 1, Census Tract 16.05, Mecklenburg County, North Carolina",1942,202,22069
49,1500000US371190016061,371190016061,"Block Group 1, Census Tract 16.06, Mecklenburg County, North Carolina",2503,392,17268
50,1500000US371190016062,371190016062,"Block Group 2, Census Tract 16.06, Mecklenburg County, North Carolina",1912,473,20612
51,1500000US371190016071,371190016071,"Block Group 1, Census Tract 16.07, Mecklenburg County, North Carolina",3144,432,18565
52,1500000US371190016081,371190016081,"Block Group 1, Census Tract 16.08, Mecklenburg County, North Carolina",2679,410,15217
53,1500000US371190016082,371190016082,"Block Group 2, Census Tract 16.08, Mecklenburg County, North Carolina",1393,255,20204
54,1500000US371190016091,371190016091,"Block Group 1, Census Tract 16.09, Mecklenburg County, North Carolina",844,229,17692
55,1500000US371190016092,371190016092,"Block Group 2, Census Tract 16.09, Mecklenburg County, North Carolina",2529,288,19517
56,1500000US371190017011,371190017011,"Block Group 1, Census Tract 17.01, Mecklenburg County, North Carolina",1649,387,33167
57,1500000US371190017012,371190017012,"Block Group 2, Census Tract 17.01, Mecklenburg County, North Carolina",2923,464,13943
58,1500000US371190017021,371190017021,"Block Group 1, Census Tract 17.02, Mecklenburg County, North Carolina",1175,322,20323
59,1500000US371190017022,371190017022,"Block Group 2, Census Tract 17.02, Mecklenburg County, North Carolina",615,212,24862
60,1500000US371190017023,371190017023,"Block Group 3, Census Tract 17.02, Mecklenburg County, North Carolina",795,237,29592
61,1500000US371190017024,371190017024,"Block Group 4, Census Tract 17.02, Mecklenburg County, North Carolina",2598,484,11848
62,1500000US371190018011,371190018011,"Block Group 1, Census Tract 18.01, Mecklenburg County, North Carolina",399,109,20477
63,1500000US371190018012,371190018012,"Block Group 2, Census Tract 18.01, Mecklenburg County, North Carolina",414,120,26703
64,1500000US371190018013,371190018013,"Block Group 3, Census Tract 18.01, Mecklenburg County, North Carolina",510,116,26765
65,1500000US371190018021,371190018021,"Block Group 1, Census Tract 18.02, Mecklenburg County, North Carolina",1365,288,30799
66,1500000US371190018022,371190018022,"Block Group 2, Census Tract 18.02, Mecklenburg County, North Carolina",1659,286,34273
67,1500000US371190019101,371190019101,"Block Group 1, Census Tract 19.10, Mecklenburg County, North Carolina",2299,382,12351
68,1500000US371190019102,371190019102,"Block Group 2, Census Tract 19.10, Mecklenburg County, North Carolina",1790,420,17139
69,1500000US371190019103,371190019103,"Block Group 3, Census Tract 19.10, Mecklenburg County, North Carolina",1752,529,13556
70,1500000US371190019111,371190019111,"Block Group 1, Census Tract 19.11, Mecklenburg County, North Carolina",1317,395,23973
71,1500000US371190019112,371190019112,"Block Group 2, Census Tract 19.11, Mecklenburg County, North Carolina",2093,568,19568
72,1500000US371190019113,371190019113,"Block Group 3, Census Tract 19.11, Mecklenburg County, North Carolina",2654,518,23022
73,1500000US371190019121,371190019121,"Block Group 1, Census Tract 19.12, Mecklenburg County, North Carolina",3143,777,16065
74,1500000US371190019122,371190019122,"Block Group 2, Census Tract 19.12, Mecklenburg County, North Carolina",765,535,14817
75,1500000US371190019123,371190019123,"Block Group 3, Census Tract 19.12, Mecklenburg County, North Carolina",739,445,15331
76,1500000US371190019124,371190019124,"Block Group 4, Census Tract 19.12, Mecklenburg County, North Carolina",2852,847,16111
77,1500000US371190019141,371190019141,"Block Group 1, Census Tract 19.14, Mecklenburg County, North Carolina",1975,457,10751
78,1500000US371190019142,371190019142,"Block Group 2, Census Tract 19.14, Mecklenburg County, North Carolina",1668,439,31383
79,1500000US371190019151,371190019151,"Block Group 1, Census Tract 19.15, Mecklenburg County, North Carolina",1439,467,24745
80,1500000US371190019152,371190019152,"Block Group 2, Census Tract 19.15, Mecklenburg County, North Carolina",2894,613,18370
81,1500000US371190019153,371190019153,"Block Group 3, Census Tract 19.15, Mecklenburg County, North Carolina",1213,410,16347
82,1500000US371190019154,371190019154,"Block Group 4, Census Tract 19.15, Mecklenburg County, North Carolina",1357,417,19158
83,1500000US371190019161,371190019161,"Block Group 1, Census Tract 19.16, Mecklenburg County, North Carolina",2144,381,21355
84,1500000US371190019162,371190019162,"Block Group 2, Census Tract 19.16, Mecklenburg County, North Carolina",1782,347,30960
85,1500000US371190019171,371190019171,"Block Group 1, Census Tract 19.17, Mecklenburg County, North Carolina",2335,473,16911
86,1500000US371190019172,371190019172,"Block Group 2, Census Tract 19.17, Mecklenburg County, North Carolina",1880,440,17209
87,1500000US371190019181,371190019181,"Block Group 1, Census Tract 19.18, Mecklenburg County, North Carolina",555,150,29457
88,1500000US371190019182,371190019182,"Block Group 2, Census Tract 19.18, Mecklenburg County, North Carolina",2293,378,18995
89,1500000US371190019183,371190019183,"Block Group 3, Census Tract 19.18, Mecklenburg County, North Carolina",1288,345,24031
90,1500000US371190019191,371190019191,"Block Group 1, Census Tract 19.19, Mecklenburg County, North Carolina",1682,405,15720
91,1500000US371190019192,371190019192,"Block Group 2, Census Tract 19.19, Mecklenburg County, North Carolina",1294,357,25086
92,1500000US371190019193,371190019193,"Block Group 3, Census Tract 19.19, Mecklenburg County, North Carolina",1483,445,15692
93,1500000US371190019201,371190019201,"Block Group 1, Census Tract 19.20, Mecklenburg County, North Carolina",2871,494,11916
94,1500000US371190019202,371190019202,"Block Group 2, Census Tract 19.20, Mecklenburg County, North Carolina",1411,350,18093
95,1500000US371190019203,371190019203,"Block Group 3, Census Tract 19.20, Mecklenburg County, North Carolina",843,304,17316
96,1500000US371190019211,371190019211,"Block Group 1, Census Tract 19.21, Mecklenburg County, North Carolina",2656,265,21820
97,1500000US371190019221,371190019221,"Block Group 1, Census Tract 19.22, Mecklenburg County, North Carolina",1821,354,16988
98,1500000US371190019222,371190019222,"Block Group 2, Census Tract 19.22, Mecklenburg County, North Carolina",2953,454,17659
99,1500000US371190019231,371190019231,"Block Group 1, Census Tract 19.23, Mecklenburg County, North Carolina",2874,526,21084
100,1500000US371190019232,371190019232,"Block Group 2, Census Tract 19.23, Mecklenburg County, North Carolina",1942,519,14302
101,1500000US371190020021,371190020021,"Block Group 1, Census Tract 20.02, Mecklenburg County, North Carolina",2285,479,49371
102,1500000US371190020022,371190020022,"Block Group 2, Census Tract 20.02, Mecklenburg County, North Carolina",1648,387,73432
103,1500000US371190020023,371190020023,"Block Group 3, Census Tract 20.02, Mecklenburg County, North Carolina",1233,307,59338
104,1500000US371190020024,371190020024,"Block Group 4, Census Tract 20.02, Mecklenburg County, North Carolina",1349,390,71254
105,1500000US371190020031,371190020031,"Block Group 1, Census Tract 20.03, Mecklenburg County, North Carolina",1386,249,50650
106,1500000US371190020032,371190020032,"Block Group 2, Census Tract 20.03, Mecklenburg County, North Carolina",1031,386,57509
107,1500000US371190020033,371190020033,"Block Group 3, Census Tract 20.03, Mecklenburg County, North Carolina",1418,501,43675
108,1500000US371190020034,371190020034,"Block Group 4, Census Tract 20.03, Mecklenburg County, North Carolina",747,183,74343
109,1500000US371190020035,371190020035,"Block Group 5, Census Tract 20.03, Mecklenburg County, North Carolina",1361,300,14109
110,1500000US371190020041,371190020041,"Block Group 1, Census Tract 20.04, Mecklenburg County, North Carolina",1813,363,45688
111,1500000US371190020042,371190020042,"Block Group 2, Census Tract 20.04, Mecklenburg County, North Carolina",1444,373,53331
112,1500000US371190020043,371190020043,"Block Group 3, Census Tract 20.04, Mecklenburg County, North Carolina",1837,399,26775
113,1500000US371190021001,371190021001,"Block Group 1, Census Tract 21, Mecklenburg County, North Carolina",863,284,19791
114,1500000US371190021002,371190021002,"Block Group 2, Census Tract 21, Mecklenburg County, North Carolina",1904,247,38860
115,1500000US371190022001,371190022001,"Block Group 1, Census Tract 22, Mecklenburg County, North Carolina",1205,314,53809
116,1500000US371190022002,371190022002,"Block Group 2, Census Tract 22, Mecklenburg County, North Carolina",1007,351,58705
117,1500000US371190022003,371190022003,"Block Group 3, Census Tract 22, Mecklenburg County, North Carolina",995,200,79287
118,1500000US371190022004,371190022004,"Block Group 4, Census Tract 22, Mecklenburg County, North Carolina",1860,494,83154
119,1500000US371190023001,371190023001,"Block Group 1, Census Tract 23, Mecklenburg County, North Carolina",562,170,12991
120,1500000US371190023002,371190023002,"Block Group 2, Census Tract 23, Mecklenburg County, North Carolina",2473,309,10090
121,1500000US371190024001,371190024001,"Block Group 1, Census Tract 24, Mecklenburg County, North Carolina",1702,273,62419
122,1500000US371190024002,371190024002,"Block Group 2, Census Tract 24, Mecklenburg County, North Carolina",1007,201,42110
123,1500000US371190024003,371190024003,"Block Group 3, Census Tract 24, Mecklenburg County, North Carolina",446,127,80761
124,1500000US371190025001,371190025001,"Block Group 1, Census Tract 25, Mecklenburg County, North Carolina",1160,123,60121
125,1500000US371190025002,371190025002,"Block Group 2, Census Tract 25, Mecklenburg County, North Carolina",612,101,44885
126,1500000US371190026001,371190026001,"Block Group 1, Census Tract 26, Mecklenburg County, North Carolina",930,135,46303
127,1500000US371190027011,371190027011,"Block Group 1, Census Tract 27.01, Mecklenburg County, North Carolina",586,143,107841
128,1500000US371190027012,371190027012,"Block Group 2, Census Tract 27.01, Mecklenburg County, North Carolina",1241,176,64213
129,1500000US371190027013,371190027013,"Block Group 3, Census Tract 27.01, Mecklenburg County, North Carolina",461,138,87294
130,1500000US371190027021,371190027021,"Block Group 1, Census Tract 27.02, Mecklenburg County, North Carolina",2511,388,91153
131,1500000US371190027022,371190027022,"Block Group 2, Census Tract 27.02, Mecklenburg County, North Carolina",2361,335,98973
132,1500000US371190027023,371190027023,"Block Group 3, Census Tract 27.02, Mecklenburg County, North Carolina",1030,229,68976
133,1500000US371190028001,371190028001,"Block Group 1, Census Tract 28, Mecklenburg County, North Carolina",911,196,108226
134,1500000US371190028002,371190028002,"Block Group 2, Census Tract 28, Mecklenburg County, North Carolina",1208,209,107844
135,1500000US371190028003,371190028003,"Block Group 3, Census Tract 28, Mecklenburg County, North Carolina",1781,249,136442
136,1500000US371190029031,371190029031,"Block Group 1, Census Tract 29.03, Mecklenburg County, North Carolina",1050,209,108257
137,1500000US371190029032,371190029032,"Block Group 2, Census Tract 29.03, Mecklenburg County, North Carolina",1245,250,148257
138,1500000US371190029033,371190029033,"Block Group 3, Census Tract 29.03, Mecklenburg County, North Carolina",1765,322,59526
139,1500000US371190029041,371190029041,"Block Group 1, Census Tract 29.04, Mecklenburg County, North Carolina",1579,473,95088
140,1500000US371190029042,371190029042,"Block Group 2, Census Tract 29.04, Mecklenburg County, North Carolina",1651,495,35075
141,1500000US371190029043,371190029043,"Block Group 3, Census Tract 29.04, Mecklenburg County, North Carolina",1465,309,59475
142,1500000US371190029044,371190029044,"Block Group 4, Census Tract 29.04, Mecklenburg County, North Carolina",624,180,74188
143,1500000US371190029045,371190029045,"Block Group 5, Census Tract 29.04, Mecklenburg County, North Carolina",1231,307,49835
144,1500000US371190029051,371190029051,"Block Group 1, Census Tract 29.05, Mecklenburg County, North Carolina",1932,167,123245
145,1500000US371190029052,371190029052,"Block Group 2, Census Tract 29.05, Mecklenburg County, North Carolina",1258,242,127937
146,1500000US371190029061,371190029061,"Block Group 1, Census Tract 29.06, Mecklenburg County, North Carolina",1349,408,59398
147,1500000US371190029062,371190029062,"Block Group 2, Census Tract 29.06, Mecklenburg County, North Carolina",1709,317,53765
148,1500000US371190029063,371190029063,"Block Group 3, Census Tract 29.06, Mecklenburg County, North Carolina",1848,383,63506
149,1500000US371190030061,371190030061,"Block Group 1, Census Tract 30.06, Mecklenburg County, North Carolina",1904,276,61493
150,1500000US371190030062,371190030062,"Block Group 2, Census Tract 30.06, Mecklenburg County, North Carolina",2999,306,43624
151,1500000US371190030071,371190030071,"Block Group 1, Census Tract 30.07, Mecklenburg County, North Carolina",656,245,56541
152,1500000US371190030072,371190030072,"Block Group 2, Census Tract 30.07, Mecklenburg County, North Carolina",2297,364,65141
153,1500000US371190030073,371190030073,"Block Group 3, Census Tract 30.07, Mecklenburg County, North Carolina",1822,520,72404
154,1500000US371190030074,371190030074,"Block Group 4, Census Tract 30.07, Mecklenburg County, North Carolina",1594,458,61235
155,1500000US371190030075,371190030075,"Block Group 5, Census Tract 30.07, Mecklenburg County, North Carolina",852,211,99507
156,1500000US371190030081,371190030081,"Block Group 1, Census Tract 30.08, Mecklenburg County, North Carolina",1576,326,47241
157,1500000US371190030082,371190030082,"Block Group 2, Census Tract 30.08, Mecklenburg County, North Carolina",1577,379,42871
158,1500000US371190030083,371190030083,"Block Group 3, Census Tract 30.08, Mecklenburg County, North Carolina",2345,576,46351
159,1500000US371190030111,371190030111,"Block Group 1, Census Tract 30.11, Mecklenburg County, North Carolina",1835,473,54750
160,1500000US371190030112,371190030112,"Block Group 2, Census Tract 30.11, Mecklenburg County, North Carolina",686,171,59385
161,1500000US371190030113,371190030113,"Block Group 3, Census Tract 30.11, Mecklenburg County, North Carolina",1760,326,73672
