,major_city,median_home_value,median_household_income,population,zipcode
0,Charlotte,,,,28201
1,Charlotte,251200.0,70300.0,11195.0,28202
2,Charlotte,367400.0,64604.0,11315.0,28203
3,Charlotte,304600.0,56286.0,4796.0,28204
4,Charlotte,160100.0,35310.0,43931.0,28205
5,Charlotte,86400.0,21087.0,11898.0,28206
6,Charlotte,743500.0,119063.0,9280.0,28207
7,Charlotte,86400.0,28435.0,34167.0,28208
8,Charlotte,268300.0,60180.0,20317.0,28209
9,Charlotte,242500.0,54915.0,42263.0,28210
10,Charlotte,366700.0,70403.0,28523.0,28211
11,Charlotte,114400.0,33781.0,38457.0,28212
12,Charlotte,136700.0,42405.0,37309.0,28213
13,Charlotte,126100.0,53527.0,34721.0,28214
14,Charlotte,127500.0,45983.0,53629.0,28215
15,Charlotte,123400.0,48491.0,47208.0,28216
16,Charlotte,107500.0,38832.0,24204.0,28217
17,Charlotte,,,,28218
18,Charlotte,,,,28219
19,Charlotte,,,,28220
20,Charlotte,,,,28221
21,Charlotte,,,,28222
22,Charlotte,,,,28223
23,Charlotte,,,,28224
24,,,,,
25,Charlotte,281800.0,68291.0,37286.0,28226
26,Charlotte,149700.0,51527.0,49635.0,28227
27,Charlotte,,,,28228
28,Charlotte,,,,28229
29,Charlotte,,,,28230
30,Charlotte,,,,28231
31,Charlotte,,,,28232
32,Charlotte,,,,28233
33,Charlotte,,,,28234
34,Charlotte,,,,28235
35,Charlotte,,,,28236
36,Charlotte,,,,28237
37,Charlotte,,,,28241
38,Charlotte,,,,28242
39,Charlotte,,,,28243
40,Charlotte,,,0.0,28244
41,Charlotte,,,,28246
42,Charlotte,,,,28247
43,Charlotte,,,,28253
44,Charlotte,,,,28254
45,Charlotte,,,,28255
46,Charlotte,,,,28256
47,Charlotte,,,,28258
48,Charlotte,,,,28260
49,,,,,
50,Charlotte,148600.0,44481.0,37547.0,28262
51,Charlotte,,,,28263
52,,,,,
53,Charlotte,,,,28265
54,Charlotte,,,,28266
55,,,,,
56,,,,,
57,Charlotte,164100.0,60070.0,71048.0,28269
58,Charlotte,276600.0,84429.0,31525.0,28270
59,Charlotte,,,,28271
60,Charlotte,,,,28272
61,Charlotte,146300.0,56048.0,31478.0,28273
62,Charlotte,,,,28274
63,Charlotte,,,,28275
64,,,,,
65,Charlotte,274700.0,91989.0,59664.0,28277
66,Charlotte,199200.0,76566.0,19283.0,28278
67,,,,,
68,Charlotte,,,10.0,28280
69,Charlotte,,,,28281
70,Charlotte,,,0.0,28282
71,,,,,
72,Charlotte,,,,28284
73,Charlotte,,,,28285
74,,,,,
75,Charlotte,,,,28287
76,Charlotte,,,,28288
77,Charlotte,,,,28289
78,Charlotte,,,,28290
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,Charlotte,,,,28296
85,Charlotte,,,,28297
86,,,,,
87,Charlotte,,,,28299
88,,,,,
