"STATEFP10,C,2","COUNTYFP10,C,3","TRACTCE10,C,6","BLOCKCE10,C,4","GEOID10,C,15","NAME10,C,10","MTFCC10,C,5","UR10,C,1","UACE10,C,5","UATYP10,C,1","FUNCSTAT10,C,1","ALAND10,N,14,0","AWATER10,N,14,0","INTPTLAT10,C,11","INTPTLON10,C,12"
32,003,005705,2000,320030057052000,Block 2000,G5040,R,,,S,4441306,35423,+35.0467199,-114.6363455
32,003,005705,2011,320030057052011,Block 2011,G5040,R,,,S,0,3952,+35.0148113,-114.6462476
32,003,005613,2043,320030056132043,Block 2043,G5040,R,,,S,13805370,131371,+36.5194281,-114.4182498
32,003,005613,4410,320030056134410,Block 4410,G5040,R,,,S,0,2559,+36.5598361,-114.4672298
32,003,005702,2000,320030057022000,Block 2000,G5040,R,,,S,0,644221,+35.1706331,-114.5697575
32,003,005703,3000,320030057033000,Block 3000,G5040,R,,,S,0,25383980,+35.4223862,-114.6542864
32,003,005703,2459,320030057032459,Block 2459,G5040,R,,,S,0,12692146,+35.5678518,-114.6706186
32,003,005437,1002,320030054371002,Block 1002,G5040,R,,,S,566213,4475,+36.1104561,-114.9127790
32,003,005615,1024,320030056151024,Block 1024,G5040,R,,,S,0,249587,+36.7801648,-114.1361167
32,003,007600,3232,320030076003232,Block 3232,G5040,R,,,S,0,24085,+36.7960011,-114.0681285
32,003,005615,1016,320030056151016,Block 1016,G5040,R,,,S,0,241063,+36.7857860,-114.1193224
32,003,007600,3216,320030076003216,Block 3216,G5040,R,,,S,0,456557,+36.7405913,-114.1944403
32,003,005705,1010,320030057051010,Block 1010,G5040,R,,,S,0,245202,+35.1815448,-114.5702441
32,003,005705,2010,320030057052010,Block 2010,G5040,R,,,S,0,357186,+35.0212680,-114.6382808
32,003,007600,3205,320030076003205,Block 3205,G5040,R,,,S,0,21665706,+36.0797855,-114.2989641
32,003,005615,1012,320030056151012,Block 1012,G5040,R,,,S,0,6104,+36.7875845,-114.1189598
32,003,005613,4196,320030056134196,Block 4196,G5040,R,,,S,0,85898,+36.1311573,-114.8817618
32,003,005437,1001,320030054371001,Block 1001,G5040,R,,,S,5477195,592018,+36.0957226,-114.9193084
32,003,007600,3008,320030076003008,Block 3008,G5040,R,,,S,0,9705,+36.7954175,-114.0689894
32,003,007600,3207,320030076003207,Block 3207,G5040,R,,,S,0,14025,+36.7348538,-114.2191922
32,003,005703,3064,320030057033064,Block 3064,G5040,R,,,S,0,182571,+35.2881727,-114.6040077
32,003,005705,1055,320030057051055,Block 1055,G5040,R,,,S,0,284183,+35.0902163,-114.6283832
32,003,007600,2063,320030076002063,Block 2063,G5040,R,,,S,0,1164372,+36.5962594,-114.3230860
32,003,005613,4239,320030056134239,Block 4239,G5040,R,,,S,0,4558,+36.1223868,-114.8574011
32,003,005607,3012,320030056073012,Block 3012,G5040,R,,,S,0,42982,+36.7913110,-114.0847093
32,003,005613,4071,320030056134071,Block 4071,G5040,R,,,S,0,89804591,+36.3913163,-114.3757935
32,003,005705,1004,320030057051004,Block 1004,G5040,R,,,S,0,46970,+35.1948492,-114.5721512
32,003,005705,2013,320030057052013,Block 2013,G5040,R,,,S,0,1017,+35.0135164,-114.6439915
32,003,007600,3153,320030076003153,Block 3153,G5040,R,,,S,0,119839,+36.1493133,-114.3545746
32,003,007600,3195,320030076003195,Block 3195,G5040,R,,,S,0,267988,+36.1566176,-114.0966653
32,003,005703,2014,320030057032014,Block 2014,G5040,R,,,S,0,1614401,+35.9446921,-114.7246589
32,003,005703,2463,320030057032463,Block 2463,G5040,R,,,S,0,4491637,+35.7409820,-114.6972940
32,003,007500,1099,320030075001099,Block 1099,G5040,R,,,S,90484997,15412,+36.1028628,-115.4871155
32,003,005703,3017,320030057033017,Block 3017,G5040,R,,,S,0,20904,+35.3741681,-114.6295952
32,003,007600,3037,320030076003037,Block 3037,G5040,R,,,S,0,1174,+36.7894978,-114.1010725
32,003,007600,3007,320030076003007,Block 3007,G5040,R,,,S,0,166634,+36.7903235,-114.0895710
32,003,007600,2060,320030076002060,Block 2060,G5040,R,,,S,0,1197188,+36.6095430,-114.3257683
32,003,007600,3235,320030076003235,Block 3235,G5040,R,,,S,0,2337,+36.7909573,-114.0928808
32,003,005615,1028,320030056151028,Block 1028,G5040,R,,,S,0,135352,+36.7907294,-114.1070921
32,003,005902,1088,320030059021088,Block 1088,G5040,R,,,S,0,1139257,+36.6329720,-115.3094283
32,003,005705,2008,320030057052008,Block 2008,G5040,R,,,S,0,12357,+35.0130820,-114.6436270
32,003,005613,4048,320030056134048,Block 4048,G5040,R,,,S,0,161136,+36.5586365,-114.4724581
32,003,007600,3160,320030076003160,Block 3160,G5040,R,,,S,0,1806,+36.1735137,-114.3767064
32,003,007600,3196,320030076003196,Block 3196,G5040,R,,,S,0,8745170,+36.1492659,-114.0916128
32,003,005437,1009,320030054371009,Block 1009,G5040,R,,,S,2424017,523601,+36.1188757,-114.9285264
32,003,007600,3228,320030076003228,Block 3228,G5040,R,,,S,0,498,+36.7720615,-114.1476658
32,003,007600,3034,320030076003034,Block 3034,G5040,R,,,S,0,976636,+36.7645013,-114.1589134
32,003,007600,3231,320030076003231,Block 3231,G5040,R,,,S,0,22854,+36.7945526,-114.0775688
32,003,005703,3062,320030057033062,Block 3062,G5040,R,,,S,0,5104,+35.2962754,-114.6052530
32,003,005703,3058,320030057033058,Block 3058,G5040,R,,,S,0,8241564,+35.3018295,-114.6007603
32,003,005501,2026,320030055012026,Block 2026,G5040,R,,,S,15022143,83408,+35.9366968,-114.8797370
32,003,007600,3003,320030076003003,Block 3003,G5040,R,,,S,0,8169,+36.7990388,-114.0527708
32,003,005705,2004,320030057052004,Block 2004,G5040,R,,,S,0,7376,+35.0160328,-114.6460413
32,003,007600,2062,320030076002062,Block 2062,G5040,R,,,S,0,1047198,+36.6828865,-114.2852848
32,003,007600,3215,320030076003215,Block 3215,G5040,R,,,S,0,1571,+36.7352017,-114.2198076
32,003,007600,1014,320030076001014,Block 1014,G5040,R,,,S,0,16313,+36.7959394,-114.0706675
32,003,007600,3199,320030076003199,Block 3199,G5040,R,,,S,0,774187,+36.1997736,-114.0535183
32,003,007600,3208,320030076003208,Block 3208,G5040,R,,,S,0,44846,+36.7373591,-114.2189304
32,003,007600,3162,320030076003162,Block 3162,G5040,R,,,S,0,1739783,+36.5094005,-114.3361448
32,003,007600,3036,320030076003036,Block 3036,G5040,R,,,S,0,120307,+36.7898409,-114.1051767
