GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1500000US320030001011,320030001011,"Block Group 1, Census Tract 1.01, Clark County, Nevada",1725,443
1500000US320030001012,320030001012,"Block Group 2, Census Tract 1.01, Clark County, Nevada",2031,485
1500000US320030001013,320030001013,"Block Group 3, Census Tract 1.01, Clark County, Nevada",792,313
1500000US320030001014,320030001014,"Block Group 4, Census Tract 1.01, Clark County, Nevada",1918,442
1500000US320030001015,320030001015,"Block Group 5, Census Tract 1.01, Clark County, Nevada",639,308
1500000US320030001031,320030001031,"Block Group 1, Census Tract 1.03, Clark County, Nevada",872,343
1500000US320030001032,320030001032,"Block Group 2, Census Tract 1.03, Clark County, Nevada",1086,324
1500000US320030001033,320030001033,"Block Group 3, Census Tract 1.03, Clark County, Nevada",2291,528
1500000US320030001034,320030001034,"Block Group 4, Census Tract 1.03, Clark County, Nevada",1453,455
1500000US320030001051,320030001051,"Block Group 1, Census Tract 1.05, Clark County, Nevada",776,375
1500000US320030001052,320030001052,"Block Group 2, Census Tract 1.05, Clark County, Nevada",2004,498
1500000US320030001053,320030001053,"Block Group 3, Census Tract 1.05, Clark County, Nevada",916,482
1500000US320030001061,320030001061,"Block Group 1, Census Tract 1.06, Clark County, Nevada",1246,243
1500000US320030001062,320030001062,"Block Group 2, Census Tract 1.06, Clark County, Nevada",1754,375
1500000US320030001063,320030001063,"Block Group 3, Census Tract 1.06, Clark County, Nevada",1158,344
1500000US320030001071,320030001071,"Block Group 1, Census Tract 1.07, Clark County, Nevada",1452,619
1500000US320030001072,320030001072,"Block Group 2, Census Tract 1.07, Clark County, Nevada",2169,428
1500000US320030001081,320030001081,"Block Group 1, Census Tract 1.08, Clark County, Nevada",938,246
1500000US320030001082,320030001082,"Block Group 2, Census Tract 1.08, Clark County, Nevada",2696,604
1500000US320030001091,320030001091,"Block Group 1, Census Tract 1.09, Clark County, Nevada",1374,479
1500000US320030001092,320030001092,"Block Group 2, Census Tract 1.09, Clark County, Nevada",786,339
1500000US320030001093,320030001093,"Block Group 3, Census Tract 1.09, Clark County, Nevada",1715,474
1500000US320030002011,320030002011,"Block Group 1, Census Tract 2.01, Clark County, Nevada",2444,619
1500000US320030002012,320030002012,"Block Group 2, Census Tract 2.01, Clark County, Nevada",1167,468
1500000US320030002013,320030002013,"Block Group 3, Census Tract 2.01, Clark County, Nevada",901,301
1500000US320030002031,320030002031,"Block Group 1, Census Tract 2.03, Clark County, Nevada",1766,494
1500000US320030002032,320030002032,"Block Group 2, Census Tract 2.03, Clark County, Nevada",431,242
1500000US320030002033,320030002033,"Block Group 3, Census Tract 2.03, Clark County, Nevada",1062,415
1500000US320030002034,320030002034,"Block Group 4, Census Tract 2.03, Clark County, Nevada",897,300
1500000US320030002041,320030002041,"Block Group 1, Census Tract 2.04, Clark County, Nevada",501,179
1500000US320030002042,320030002042,"Block Group 2, Census Tract 2.04, Clark County, Nevada",619,196
1500000US320030003011,320030003011,"Block Group 1, Census Tract 3.01, Clark County, Nevada",1736,339
1500000US320030003012,320030003012,"Block Group 2, Census Tract 3.01, Clark County, Nevada",498,191
1500000US320030003013,320030003013,"Block Group 3, Census Tract 3.01, Clark County, Nevada",389,150
1500000US320030003021,320030003021,"Block Group 1, Census Tract 3.02, Clark County, Nevada",735,287
1500000US320030003022,320030003022,"Block Group 2, Census Tract 3.02, Clark County, Nevada",1775,433
1500000US320030003023,320030003023,"Block Group 3, Census Tract 3.02, Clark County, Nevada",440,255
1500000US320030003024,320030003024,"Block Group 4, Census Tract 3.02, Clark County, Nevada",923,315
1500000US320030003025,320030003025,"Block Group 5, Census Tract 3.02, Clark County, Nevada",959,338
1500000US320030004011,320030004011,"Block Group 1, Census Tract 4.01, Clark County, Nevada",687,206
1500000US320030004012,320030004012,"Block Group 2, Census Tract 4.01, Clark County, Nevada",1667,282
1500000US320030004021,320030004021,"Block Group 1, Census Tract 4.02, Clark County, Nevada",1162,355
1500000US320030004022,320030004022,"Block Group 2, Census Tract 4.02, Clark County, Nevada",732,345
1500000US320030004023,320030004023,"Block Group 3, Census Tract 4.02, Clark County, Nevada",945,295
