"BLOCKCE,C,4","BLOCKID10,C,15","POP10,N,9,0"
3047,320019503013047,6
1024,320019503021024,36
3011,320019506003011,131
4022,320019507004022,131
2019,320019503012019,36
1126,320019506001126,6
3023,320019503023023,26
5010,320019503025010,0
1043,320019505001043,4
2019,320019506002019,0
2030,320019507002030,61
2031,320019507002031,3
2017,320019507002017,12
1123,320019506001123,7
1235,320019506001235,0
1072,320019506001072,0
1073,320019506001073,0
1826,320019501001826,0
1825,320019501001825,0
1864,320019501001864,0
1157,320019501001157,0
1398,320019501001398,0
1053,320019507001053,0
3027,320019507003027,2
3242,320019507003242,0
1103,320019501001103,0
1266,320019507001266,2
2057,320019501002057,0
1384,320019507001384,19
1340,320019507001340,0
1309,320019507001309,0
2128,320019501002128,0
2138,320019501002138,0
2119,320019501002119,4
1239,320019506001239,38
3006,320019503023006,22
2099,320019501002099,0
2071,320019501002071,0
2070,320019501002070,0
1036,320019504001036,0
2022,320019506002022,2
2054,320019506002054,27
1208,320019506001208,2
1006,320019507001006,46
2032,320019501002032,1
1363,320019507001363,0
2048,320019506002048,51
4037,320019507004037,9
1020,320019501001020,0
1278,320019506001278,0
1107,320019506001107,0
1830,320019501001830,0
1096,320019506001096,0
1067,320019501001067,0
1291,320019506001291,0
1029,320019501001029,0
1260,320019506001260,0
1113,320019506001113,0
3229,320019507003229,0
1297,320019507001297,0
3173,320019507003173,0
2001,320019503012001,5
1205,320019506001205,1
3039,320019506003039,0
4002,320019507004002,0
2003,320019507002003,0
2035,320019503012035,7
5024,320019503025024,16
2000,320019503022000,0
4002,320019503024002,4
1006,320019503011006,0
2108,320019501002108,0
2148,320019501002148,0
2147,320019501002147,0
2134,320019501002134,0
2159,320019501002159,0
2152,320019501002152,0
2158,320019501002158,0
2214,320019501002214,0
1686,320019501001686,0
2168,320019501002168,0
1068,320019501001068,0
1867,320019501001867,0
2001,320019506002001,0
2002,320019506002002,0
2053,320019505002053,0
2006,320019505002006,0
1073,320019501001073,0
1450,320019501001450,0
1449,320019501001449,0
1072,320019501001072,0
4004,320019503024004,12
3008,320019503013008,90
2011,320019503022011,26
1024,320019503011024,11
3009,320019503013009,26
4015,320019503024015,20
4023,320019503024023,9
2037,320019507002037,0
2034,320019503022034,12
4044,320019507004044,0
3039,320019503013039,15
1045,320019503011045,11
3056,320019503013056,8
1600,320019501001600,70
1713,320019501001713,0
1332,320019501001332,0
1725,320019501001725,0
1129,320019501001129,16
1183,320019501001183,0
1086,320019501001086,0
1025,320019501001025,0
1038,320019501001038,0
1360,320019501001360,0
1344,320019501001344,0
4079,320019507004079,0
4080,320019507004080,0
4082,320019507004082,0
2027,320019501002027,97
1207,320019507001207,11
1227,320019507001227,5
3033,320019506003033,169
2016,320019507002016,0
2166,320019501002166,0
2211,320019501002211,0
1360,320019507001360,0
2204,320019501002204,0
1370,320019507001370,0
1362,320019501001362,0
1188,320019506001188,2
1226,320019506001226,0
1204,320019506001204,0
2031,320019505002031,0
2065,320019505002065,55
2067,320019505002067,0
2002,320019503012002,23
2030,320019506002030,24
3034,320019506003034,189
2009,320019503012009,0
4004,320019507004004,0
1000,320019503021000,0
1603,320019501001603,0
2101,320019505002101,0
1742,320019501001742,0
1755,320019501001755,0
1197,320019506001197,18
1191,320019506001191,24
1016,320019506001016,0
2039,320019505002039,0
3006,320019506003006,27
2036,320019506002036,0
3070,320019503013070,24
3015,320019503013015,170
1074,320019503021074,35
1616,320019501001616,87
4064,320019507004064,8
2015,320019501002015,0
1232,320019507001232,0
1220,320019507001220,19
2036,320019501002036,9
1794,320019501001794,0
1067,320019505001067,3
1038,320019505001038,9
1080,320019505001080,1
2051,320019505002051,7
2056,320019505002056,0
1017,320019505001017,9
1440,320019501001440,0
1018,320019505001018,0
1503,320019501001503,0
1236,320019507001236,36
1200,320019507001200,0
2049,320019501002049,0
1281,320019507001281,0
4008,320019507004008,78
3022,320019506003022,3
1006,320019503021006,46
1014,320019503021014,1
1087,320019503021087,5
1047,320019503021047,15
1073,320019503021073,10
1361,320019507001361,0
1056,320019505001056,19
1500,320019501001500,0
1492,320019501001492,0
1038,320019503021038,6
1079,320019505001079,0
1003,320019505001003,0
1022,320019505001022,0
1489,320019501001489,0
1501,320019501001501,0
1083,320019501001083,0
1498,320019501001498,0
1538,320019501001538,3
1528,320019501001528,2
3023,320019503013023,0
1471,320019501001471,0
1081,320019503021081,0
1031,320019505001031,0
1566,320019501001566,15
2041,320019507002041,94
1007,320019504001007,0
1795,320019501001795,0
1055,320019504001055,0
1325,320019501001325,0
1213,320019501001213,0
1857,320019501001857,0
1422,320019501001422,0
1435,320019501001435,0
1481,320019501001481,0
1445,320019501001445,0
1428,320019501001428,0
1453,320019501001453,0
1678,320019501001678,0
1106,320019504001106,0
1099,320019504001099,0
2098,320019501002098,0
2047,320019501002047,3
1696,320019501001696,0
2078,320019501002078,1
1684,320019501001684,0
2074,320019501002074,55
2068,320019501002068,20
1100,320019504001100,0
1032,320019504001032,0
2079,320019505002079,0
2094,320019505002094,0
2090,320019505002090,6
1205,320019501001205,0
1195,320019501001195,0
1396,320019501001396,0
1137,320019501001137,0
1040,320019506001040,0
1586,320019501001586,0
1578,320019501001578,0
1090,320019505001090,13
1027,320019505001027,0
1572,320019501001572,0
1671,320019501001671,0
1017,320019504001017,0
3073,320019503013073,10
1061,320019504001061,126
1020,320019506001020,0
1281,320019506001281,0
1043,320019506001043,0
1044,320019506001044,0
1282,320019507001282,0
1064,320019506001064,0
2013,320019506002013,2
2096,320019501002096,0
1745,320019501001745,0
1053,320019504001053,0
2081,320019505002081,0
1037,320019504001037,0
1083,320019504001083,0
1046,320019504001046,0
3032,320019503023032,166
1063,320019505001063,2
1812,320019501001812,3
1581,320019501001581,0
1562,320019501001562,1
1736,320019501001736,0
1639,320019501001639,0
1111,320019507001111,0
3202,320019507003202,0
1134,320019507001134,0
1023,320019501001023,0
1248,320019501001248,0
1144,320019501001144,0
1132,320019501001132,0
1181,320019501001181,0
1280,320019506001280,0
1170,320019506001170,0
3004,320019507003004,0
1134,320019506001134,0
1138,320019506001138,0
1683,320019501001683,0
1657,320019501001657,0
1416,320019501001416,0
1417,320019501001417,0
1341,320019501001341,0
1138,320019501001138,0
1133,320019501001133,0
3069,320019507003069,1
3013,320019507003013,0
3091,320019507003091,0
3092,320019507003092,0
3079,320019507003079,6
1120,320019507001120,0
3131,320019507003131,0
3157,320019507003157,4
3120,320019507003120,0
3036,320019507003036,4
3013,320019503013013,0
1455,320019501001455,0
3059,320019507003059,0
3156,320019507003156,0
3190,320019507003190,0
1149,320019507001149,1
1142,320019507001142,0
4035,320019507004035,7
4036,320019507004036,1
2031,320019503012031,0
1177,320019501001177,0
1154,320019501001154,0
1239,320019501001239,0
1290,320019501001290,0
1291,320019501001291,0
1147,320019501001147,5
3130,320019507003130,0
3152,320019507003152,0
3138,320019507003138,0
1097,320019507001097,0
3178,320019507003178,0
3200,320019507003200,1
1067,320019507001067,5
1076,320019507001076,0
1068,320019507001068,0
1153,320019507001153,0
1036,320019507001036,10
1126,320019507001126,0
1063,320019503021063,0
2014,320019501002014,27
4032,320019507004032,0
1048,320019504001048,0
1228,320019501001228,0
1279,320019501001279,0
1218,320019501001218,0
1160,320019507001160,0
1392,320019507001392,0
1391,320019507001391,0
3119,320019507003119,0
3117,320019507003117,0
3103,320019507003103,0
3100,320019507003100,0
2013,320019507002013,10
1101,320019507001101,0
1103,320019507001103,2
1183,320019507001183,0
1152,320019507001152,0
1173,320019507001173,0
2055,320019501002055,22
3008,320019503023008,6
2013,320019503012013,17
5007,320019503025007,0
1015,320019503021015,0
1058,320019503021058,33
3048,320019503013048,1
4041,320019503024041,0
2018,320019501002018,12
1272,320019501001272,0
1245,320019501001245,0
1288,320019501001288,0
1100,320019506001100,0
5016,320019503025016,0
2008,320019503022008,17
4040,320019507004040,5
1030,320019503021030,12
5030,320019503025030,0
2027,320019503022027,11
1216,320019506001216,32
1075,320019503021075,20
2087,320019505002087,4
4016,320019503024016,14
4031,320019503024031,9
5033,320019503025033,0
5015,320019503025015,0
3038,320019503013038,32
1077,320019505001077,1
5027,320019503025027,0
4020,320019503024020,7
1254,320019501001254,0
1393,320019501001393,0
1327,320019501001327,0
1733,320019501001733,0
2023,320019506002023,0
1343,320019507001343,0
2042,320019506002042,25
3002,320019503013002,0
3004,320019503013004,1
1153,320019506001153,0
3045,320019503013045,5
3061,320019503013061,93
4008,320019503024008,0
1082,320019505001082,3
2179,320019501002179,0
1349,320019507001349,0
4012,320019507004012,17
1251,320019506001251,7
2025,320019503012025,105
2007,320019503022007,129
2014,320019503012014,90
1602,320019501001602,48
1072,320019503021072,0
1607,320019501001607,0
1000,320019506001000,0
1059,320019506001059,0
2007,320019503012007,14
2022,320019503012022,42
2050,320019506002050,34
2021,320019506002021,176
1421,320019501001421,0
1565,320019501001565,2
1076,320019504001076,0
1033,320019505001033,119
2041,320019503012041,0
3002,320019507003002,0
1119,320019506001119,0
3071,320019503013071,5
1286,320019506001286,0
1235,320019507001235,144
1216,320019507001216,5
3083,320019503013083,3
3046,320019503013046,16
1069,320019506001069,0
1007,320019506001007,0
1076,320019506001076,0
1828,320019501001828,0
1046,320019501001046,0
1824,320019501001824,0
1049,320019501001049,0
1001,320019506001001,0
1048,320019501001048,0
1044,320019501001044,0
1060,320019501001060,0
3038,320019507003038,0
3208,320019507003208,0
1201,320019507001201,36
1212,320019506001212,0
1032,320019507001032,0
1033,320019507001033,0
1029,320019507001029,0
1191,320019507001191,0
3209,320019507003209,55
3224,320019507003224,0
3213,320019507003213,0
2185,320019501002185,0
2175,320019501002175,0
2109,320019501002109,0
2020,320019507002020,50
1000,320019504001000,0
1621,320019501001621,0
1002,320019504001002,0
1051,320019504001051,0
2052,320019506002052,14
1288,320019506001288,0
1193,320019506001193,16
1010,320019501001010,0
1033,320019501001033,0
3024,320019507003024,83
1082,320019506001082,0
2038,320019506002038,0
1833,320019501001833,0
1105,320019506001105,0
1090,320019506001090,0
1069,320019501001069,0
1109,320019506001109,0
1111,320019501001111,0
1034,320019501001034,0
3171,320019507003171,1
3227,320019507003227,2
1295,320019507001295,0
1187,320019507001187,0
3141,320019507003141,0
1210,320019507001210,15
3015,320019506003015,37
3009,320019506003009,64
3004,320019503023004,0
5001,320019503025001,95
5005,320019503025005,23
2030,320019503012030,30
2036,320019503012036,0
5031,320019503025031,21
2066,320019501002066,0
2131,320019501002131,0
2213,320019501002213,0
1796,320019501001796,0
1688,320019501001688,0
1240,320019506001240,6
1753,320019501001753,0
1338,320019501001338,0
1388,320019501001388,0
