,major_city,median_home_value,median_household_income,population,zipcode
0,Las Vegas,218600.0,86895.0,25150.0,89141
1,Las Vegas,198400.0,64084.0,39712.0,89148
2,Las Vegas,174100.0,69983.0,30477.0,89139
3,Las Vegas,197200.0,69273.0,31143.0,89149
4,Las Vegas,233800.0,73492.0,18714.0,89144
5,Las Vegas,199300.0,83590.0,12786.0,89143
6,Las Vegas,189900.0,65246.0,51252.0,89129
7,Las Vegas,341200.0,91579.0,24144.0,89135
8,Las Vegas,218100.0,80013.0,43072.0,89131
9,Las Vegas,213100.0,65966.0,23800.0,89113
10,Las Vegas,172600.0,64866.0,33015.0,89130
11,Las Vegas,223900.0,61561.0,24040.0,89134
12,Las Vegas,177400.0,59629.0,56300.0,89123
13,Las Vegas,165500.0,56009.0,49778.0,89147
14,Las Vegas,145500.0,56524.0,23186.0,89145
15,Las Vegas,314800.0,71705.0,941.0,89124
16,Las Vegas,109800.0,53284.0,33731.0,89142
17,Las Vegas,225400.0,54556.0,55416.0,89117
18,Las Vegas,157700.0,49335.0,23311.0,89120
19,Las Vegas,170800.0,52703.0,35669.0,89128
20,Las Vegas,105800.0,44420.0,27794.0,89156
21,Las Vegas,220200.0,43003.0,19071.0,89146
22,Las Vegas,110700.0,41659.0,70123.0,89108
23,Las Vegas,108200.0,44737.0,70994.0,89110
24,Las Vegas,153400.0,51250.0,19318.0,89118
25,Las Vegas,110200.0,40836.0,64096.0,89121
26,Las Vegas,103600.0,44271.0,36282.0,89107
27,Las Vegas,103600.0,37223.0,50519.0,89103
28,Las Vegas,105700.0,45260.0,45720.0,89122
29,Las Vegas,90300.0,34184.0,39909.0,89104
30,Las Vegas,149600.0,32562.0,35759.0,89102
31,Las Vegas,80100.0,33496.0,58794.0,89115
32,Las Vegas,123800.0,34434.0,49445.0,89119
33,Las Vegas,89500.0,28506.0,25759.0,89106
34,Las Vegas,142400.0,40074.0,7770.0,89109
35,Las Vegas,72100.0,22401.0,46055.0,89101
36,Las Vegas,,,,89105
37,Las Vegas,,,,89111
38,Las Vegas,,,,89112
39,Las Vegas,,,,89114
40,Las Vegas,,,,89116
41,Las Vegas,,,,89125
42,Las Vegas,,,,89126
43,Las Vegas,,,,89132
44,Las Vegas,,,,89133
45,Las Vegas,,,,89136
46,Las Vegas,,,,89137
47,Las Vegas,290000.0,104361.0,12118.0,89138
48,Las Vegas,,,,89140
49,Las Vegas,,,,89150
50,Las Vegas,,,,89151
51,Las Vegas,,,,89152
52,Las Vegas,,,,89153
53,Las Vegas,,,,89154
54,Las Vegas,,,,89155
55,Las Vegas,,,,89157
56,Las Vegas,,,,89158
57,Las Vegas,,,,89160
58,Las Vegas,,,184.0,89161
59,Las Vegas,,,,89162
60,Las Vegas,,,,89165
61,Las Vegas,193100.0,65645.0,13209.0,89166
62,Las Vegas,125100.0,31331.0,23304.0,89169
63,Henderson,257700.0,72573.0,14260.0,89044
64,Las Vegas,,,,89173
65,Las Vegas,208700.0,78849.0,27588.0,89178
66,Las Vegas,177900.0,78639.0,2340.0,89179
67,Las Vegas,,,,89180
68,Sloan,250700.0,52536.0,105.0,89054
69,Las Vegas,160400.0,62079.0,36005.0,89183
70,Nellis Afb,,30278.0,857.0,89191
71,Las Vegas,,,,89193
72,Las Vegas,,,,89195
73,Las Vegas,,,,89199
