,major_city,median_home_value,median_household_income,population,zipcode
0,Phoenix,,,,85001
1,Phoenix,,,,85002
2,Phoenix,260500.0,36390.0,9369.0,85003
3,Phoenix,205200.0,26008.0,4965.0,85004
4,Phoenix,,,,85005
5,Phoenix,112700.0,22957.0,25742.0,85006
6,Phoenix,194200.0,28125.0,14040.0,85007
7,Phoenix,109100.0,32109.0,56145.0,85008
8,Phoenix,62800.0,22725.0,52520.0,85009
9,Phoenix,,,,85010
10,Phoenix,,,,85011
11,Phoenix,379200.0,49226.0,6390.0,85012
12,Phoenix,181900.0,43576.0,19314.0,85013
13,Phoenix,170900.0,41903.0,24782.0,85014
14,Phoenix,113400.0,30753.0,37644.0,85015
15,Phoenix,194400.0,46233.0,33896.0,85016
16,Phoenix,72000.0,27782.0,38872.0,85017
17,Phoenix,344900.0,52389.0,36065.0,85018
18,Phoenix,78900.0,32043.0,25042.0,85019
19,Phoenix,167400.0,46037.0,32850.0,85020
20,Phoenix,188200.0,38130.0,37743.0,85021
21,Phoenix,176900.0,45606.0,46395.0,85022
22,Phoenix,153500.0,47200.0,31274.0,85023
23,Phoenix,189100.0,64776.0,22898.0,85024
24,Phoenix,,,,85026
25,Phoenix,128900.0,51919.0,37140.0,85027
26,Phoenix,284800.0,85058.0,19157.0,85028
27,Phoenix,113300.0,42937.0,43233.0,85029
28,Phoenix,,,,85030
29,Phoenix,67200.0,26187.0,30493.0,85031
30,Phoenix,156100.0,48461.0,65485.0,85032
31,Phoenix,70700.0,33821.0,53037.0,85033
32,Phoenix,123000.0,19509.0,5582.0,85034
33,Phoenix,71200.0,31645.0,47486.0,85035
34,Phoenix,,,,85036
35,Phoenix,99600.0,47695.0,44771.0,85037
36,Phoenix,,,,85038
37,Phoenix,,,,85039
38,Phoenix,88700.0,30841.0,29352.0,85040
39,Phoenix,107900.0,42204.0,54947.0,85041
40,Phoenix,118600.0,46962.0,40962.0,85042
41,Phoenix,99900.0,40584.0,30560.0,85043
42,Phoenix,214100.0,66416.0,37993.0,85044
43,Phoenix,349800.0,115756.0,7238.0,85045
44,Phoenix,,,,85046
45,Phoenix,303600.0,93878.0,33449.0,85048
46,Phoenix,237300.0,78087.0,25736.0,85050
47,Phoenix,108000.0,38415.0,40375.0,85051
48,Phoenix,129800.0,48280.0,28480.0,85053
49,Phoenix,326400.0,67488.0,5384.0,85054
50,Phoenix,,,,85060
51,Phoenix,,,,85061
52,Phoenix,,,,85062
53,Phoenix,,,,85063
54,Phoenix,,,,85064
55,Phoenix,,,,85065
56,Phoenix,,,,85066
57,Phoenix,,,,85067
58,Phoenix,,,,85068
59,Phoenix,,,,85069
60,Phoenix,,,,85070
61,Phoenix,,,,85071
62,Phoenix,,,,85072
63,Phoenix,,,,85073
64,Phoenix,,,,85074
65,Phoenix,,,,85075
66,Phoenix,,,,85076
67,Phoenix,,,,85078
68,Phoenix,,,,85079
69,Phoenix,,,,85080
70,Phoenix,,,,85082
71,Phoenix,281000.0,105101.0,18104.0,85083
72,Phoenix,291000.0,83377.0,17517.0,85085
73,Phoenix,252200.0,76856.0,40495.0,85086
74,New River,270100.0,74805.0,7708.0,85087
